key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
121-127105-0019_4446-2275-0029__T1__NBASIC__121,121,4446,6,7.354773242433665,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,1,0,1,0,0,0,0,0
121-127105-0019_4446-2275-0029__T2__NBASIC__4446,4446,121,6,27.58005176196216,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0,0,0,0
121-127105-0020_5683-32866-0030__T1__NBASIC__121,121,5683,8,-0.5905863060439375,0.625,0.5,0.25,0.25,0.25,0.25,0.125,0.125,1,1,1,1,1,1,0,0
121-127105-0020_5683-32866-0030__T2__NBASIC__5683,5683,121,8,-8.424657541419165,0.625,0.75,0.75,0.875,0.75,0.625,0.75,0.625,1,1,1,1,1,1,1,1
121-127105-0023_1580-141083-0021__T1__NBASIC__121,121,1580,6,30.051162518111305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0023_1580-141083-0021__T2__NBASIC__1580,1580,121,6,33.56367883217167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0026_7127-75946-0017__T1__NBASIC__121,121,7127,14,32.42098811757709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0026_7127-75946-0017__T2__NBASIC__7127,7127,121,14,31.331786107971844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0035_1995-1826-0013__T1__NBASIC__121,121,1995,16,35.30243303640123,0.0,0.0625,0.125,0.0625,0.0625,0.0,0.0625,0.0,1,0,1,0,0,0,0,0
121-127105-0035_1995-1826-0013__T2__NBASIC__1995,1995,121,16,38.75707117053816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
121-127105-0036_5683-32865-0005__T1__NBASIC__121,121,5683,7,28.107572150262385,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,1,0,1,0,0,0,0,0
121-127105-0036_5683-32865-0005__T2__NBASIC__5683,5683,121,7,-0.32783828269885834,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1,1,1,1,1,1,1,1
