key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift,case_type,sisnri_gap_tfc_minus_usef
260-123440-0011_4446-2275-0005__T2__SCV3TTSENR__4446-4446-2275-0005__VOICE__260,-32.590984798581786,-26.776598021291125,-28.2188937867582,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.814386777290661
4446-2275-0028_3570-5696-0009__T1__SCV3TTSENR__4446-4446-2275-0028__VOICE__3570,-37.40131279207962,-31.69528558090016,-34.33650560338789,0.8333333333333334,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.706027211179464
5639-40744-0006_4446-2275-0041__T2__SCV3TTSENR__4446-4446-2275-0041__VOICE__5639,-41.94225619630986,-36.39147362829757,-37.458026163752265,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.550782568012295
1320-122617-0040_8224-274381-0007__T2__SCV3TTSENR__8224-8224-274381-0007__VOICE__1320,-24.9799646451596,-19.47095142977821,-15.79017588371479,0.7857142857142857,0.9285714285714286,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.50901321538139
672-122797-0064_8455-210777-0057__T1__SCV3TTSENR__672-672-122797-0064__VOICE__8455,-27.242742454658952,-21.94474500685952,-25.354451531091428,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.297997447799432
5639-40744-0033_4446-2275-0034__T2__SCV3TTSENR__4446-4446-2275-0034__VOICE__5639,-40.3112200640104,-35.093465916521474,-36.0639188386581,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.217754147488925
8224-274384-0002_4446-2275-0019__T2__SCV3TTSENR__4446-4446-2275-0019__VOICE__8224,-42.36133640339596,-37.20967170211126,-33.6094130106467,0.75,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.151664701284702
4970-29095-0031_237-134493-0003__T1__SCV3TTSENR__4970-4970-29095-0031__VOICE__237,-39.86096195070728,-34.81788554804344,-32.92207578610504,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,5.043076402663836
5639-40744-0038_4446-2275-0042__T2__SCV3TTSENR__4446-4446-2275-0042__VOICE__5639,-37.75283684077913,-32.83007514243696,-31.642637375106737,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.922761698342171
260-123440-0010_908-31957-0023__T2__SCV3TTSENR__908-908-31957-0023__VOICE__260,-24.79604406547947,-19.91507174054152,-25.43752525310135,0.9333333333333332,0.9333333333333332,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.88097232493795
4446-2273-0025_4992-41797-0002__T1__SCV3TTSENR__4446-4446-2273-0025__VOICE__4992,-38.14229866611589,-33.26884931458206,-30.85190814741385,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.873449351533829
237-134493-0017_4446-2275-0000__T2__SCV3TTSENR__4446-4446-2275-0000__VOICE__237,-42.83214140108727,-38.041111284910095,-34.14043885855647,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.791030116177176
4446-2275-0035_8463-287645-0003__T1__SCV3TTSENR__4446-4446-2275-0035__VOICE__8463,-42.28837110245926,-37.73646877241967,-39.40133832020014,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.551902330039589
4446-2275-0012_1284-1180-0029__T1__SCV3TTSENR__4446-4446-2275-0012__VOICE__1284,-36.58398860566109,-32.11086524975,-33.38679694350409,0.8888888888888888,0.8888888888888888,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.473123355911092
5105-28240-0014_7127-75947-0021__T1__SCV3TTSENR__5105-5105-28240-0014__VOICE__7127,-34.55493435936528,-30.18870584987436,-26.080035217068765,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.366228509490917
2961-961-0009_4446-2275-0005__T2__SCV3TTSENR__4446-4446-2275-0005__VOICE__2961,-46.58003856905487,-42.2197073677532,-36.98211631836854,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.360331201301669
1284-1180-0028_4446-2273-0028__T2__SCV3TTSENR__4446-4446-2273-0028__VOICE__1284,-34.046094186093,-29.874136207682625,-31.85271200126072,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.171957978410376
4446-2273-0009_237-126133-0010__T1__SCV3TTSENR__4446-4446-2273-0009__VOICE__237,-42.4078545594827,-38.40460093881666,-38.680899084601045,0.8571428571428571,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,4.003253620666044
4446-2275-0022_1995-1826-0018__T1__SCV3TTSENR__4446-4446-2275-0022__VOICE__1995,-34.539638524423864,-30.587472434208934,-32.37813188446073,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,3.9521660902149307
4446-2275-0006_1284-134647-0002__T1__SCV3TTSENR__4446-4446-2275-0006__VOICE__1284,-37.00208112507039,-33.13194122150603,-35.341741278137484,0.8333333333333334,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,3.8701399035643576
3575-170457-0052_260-123440-0007__T1__SCV3TTSENR__3575-3575-170457-0052__VOICE__260,-19.52389392988192,-16.237751709763323,-15.475827647770862,1.0,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,3.2861422201185952
260-123288-0012_4446-2273-0025__T2__SCV3TTSENR__4446-4446-2273-0025__VOICE__260,-40.00489025008901,-37.07700380749823,-31.49869549014777,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,2.9278864425907827
2961-961-0020_4446-2275-0012__T2__SCV3TTSENR__4446-4446-2275-0012__VOICE__2961,-30.57031251945036,-27.747623575417627,-29.422223615533994,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,2.822688944032734
8463-294828-0012_8555-284447-0009__T1__SCV3TTSENR__8463-8463-294828-0012__VOICE__8555,-25.484645896152408,-22.823753786784035,-26.981431222790697,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,2.6608921093683726
