key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1188-133604-0020_3729-6852-0044__T2__NBASIC__3729,3729,1188,-4.091267,12.950000,17.040000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0020_3729-6852-0044__T2__NBASIC__3729.wav
1188-133604-0022_1221-135767-0019__T1__NBASIC__1188,1188,1221,4.659320,18.510000,13.850000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0022_1221-135767-0019__T1__NBASIC__1188.wav
1188-133604-0022_1221-135767-0019__T2__NBASIC__1221,1221,1188,-4.723206,14.030000,18.750000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0022_1221-135767-0019__T2__NBASIC__1221.wav
1188-133604-0025_4992-23283-0016__T1__NBASIC__1188,1188,4992,0.518562,9.400000,8.890000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0025_4992-23283-0016__T1__NBASIC__1188.wav
1188-133604-0025_4992-23283-0016__T2__NBASIC__4992,4992,1188,-0.521384,8.730000,9.250000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0025_4992-23283-0016__T2__NBASIC__4992.wav
1188-133604-0029_8455-210777-0003__T1__NBASIC__1188,1188,8455,5.971785,16.100000,10.130000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0029_8455-210777-0003__T1__NBASIC__1188.wav
1188-133604-0029_8455-210777-0003__T2__NBASIC__8455,8455,1188,-5.956406,10.600000,16.550000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0029_8455-210777-0003__T2__NBASIC__8455.wav
1188-133604-0033_7127-75947-0027__T1__NBASIC__1188,1188,7127,0.704260,-19.250000,-19.960000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0033_7127-75947-0027__T1__NBASIC__1188.wav
1188-133604-0033_7127-75947-0027__T2__NBASIC__7127,7127,1188,-0.647276,12.360000,13.010000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0033_7127-75947-0027__T2__NBASIC__7127.wav
1188-133604-0036_2961-960-0007__T1__NBASIC__1188,1188,2961,-0.775333,11.100000,11.870000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0036_2961-960-0007__T1__NBASIC__1188.wav
1188-133604-0036_2961-960-0007__T2__NBASIC__2961,2961,1188,0.355297,11.130000,10.780000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0036_2961-960-0007__T2__NBASIC__2961.wav
1188-133604-0038_5142-33396-0043__T1__NBASIC__1188,1188,5142,0.577025,16.810000,16.230000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0038_5142-33396-0043__T1__NBASIC__1188.wav
1188-133604-0038_5142-33396-0043__T2__NBASIC__5142,5142,1188,-0.681989,16.290000,16.970000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0038_5142-33396-0043__T2__NBASIC__5142.wav
1188-133604-0040_4970-29093-0002__T1__NBASIC__1188,1188,4970,1.089258,10.690000,9.600000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0040_4970-29093-0002__T1__NBASIC__1188.wav
1188-133604-0040_4970-29093-0002__T2__NBASIC__4970,4970,1188,-1.025173,9.830000,10.860000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1188-133604-0040_4970-29093-0002__T2__NBASIC__4970.wav
121-121726-0000_3570-5694-0022__T1__NBASIC__121,121,3570,1.894087,2.890000,1.000000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0000_3570-5694-0022__T1__NBASIC__121.wav
121-121726-0000_3570-5694-0022__T2__NBASIC__3570,3570,121,-1.729863,14.190000,15.910000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0000_3570-5694-0022__T2__NBASIC__3570.wav
121-121726-0003_672-122797-0059__T1__NBASIC__121,121,672,1.809121,11.820000,10.010000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0003_672-122797-0059__T1__NBASIC__121.wav
121-121726-0003_672-122797-0059__T2__NBASIC__672,672,121,-1.908162,10.000000,11.910000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0003_672-122797-0059__T2__NBASIC__672.wav
121-121726-0006_61-70970-0003__T1__NBASIC__121,121,61,2.647803,12.990000,10.340000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0006_61-70970-0003__T1__NBASIC__121.wav
121-121726-0006_61-70970-0003__T2__NBASIC__61,61,121,-2.735157,9.880000,12.610000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0006_61-70970-0003__T2__NBASIC__61.wav
121-121726-0008_4446-2273-0000__T1__NBASIC__121,121,4446,-1.695056,8.920000,10.620000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0008_4446-2273-0000__T1__NBASIC__121.wav
121-121726-0008_4446-2273-0000__T2__NBASIC__4446,4446,121,1.830974,13.160000,11.330000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0008_4446-2273-0000__T2__NBASIC__4446.wav
121-121726-0010_260-123286-0031__T1__NBASIC__121,121,260,0.139636,13.680000,13.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0010_260-123286-0031__T1__NBASIC__121.wav
121-121726-0010_260-123286-0031__T2__NBASIC__260,260,121,-0.386629,13.170000,13.560000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0010_260-123286-0031__T2__NBASIC__260.wav
121-121726-0011_237-126133-0017__T1__NBASIC__121,121,237,-4.960973,-3.780000,1.180000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0011_237-126133-0017__T1__NBASIC__121.wav
121-121726-0011_237-126133-0017__T2__NBASIC__237,237,121,5.080667,5.670000,0.600000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0011_237-126133-0017__T2__NBASIC__237.wav
121-121726-0014_7021-79740-0000__T1__NBASIC__121,121,7021,-6.057292,10.570000,16.610000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0014_7021-79740-0000__T1__NBASIC__121.wav
121-121726-0014_7021-79740-0000__T2__NBASIC__7021,7021,121,6.255883,17.210000,10.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/121-121726-0014_7021-79740-0000__T2__NBASIC__7021.wav
