case_category,case_rank,key,chunk_idx,start_sec,end_sec,sb_sim_target_enroll,sb_sim_target_ref,sb_sim_interferer,sb_gap_enroll_vs_interferer,sb_gap_targetref_vs_interferer,sb_mismatch_enroll,sb_mismatch_targetref,ecapa_speaker_mismatch_rate,ecapa_speaker_gap_mean,sisnr_i
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,2,1.0,2.0,0.9954962528624026,0.9923328554249531,0.9957390821948348,-0.00024282933243213733,-0.0034062267698816706,True,True,1.0,-0.07794783004846195,-53.447947283960815
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,3,1.5,2.5,0.9958423176914911,0.9920211832006531,0.9953172007815223,0.0005251169099688147,-0.0032960175808691705,False,True,1.0,-0.07794783004846195,-53.447947283960815
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,4,2.0,3.0,0.9952492514878374,0.9923294584172659,0.9963320890478151,-0.001082837559977734,-0.0040026306305491755,True,True,1.0,-0.07794783004846195,-53.447947283960815
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,5,2.5,3.5,0.9948444763532632,0.9909568826848297,0.9954424301376908,-0.0005979537844276184,-0.004485547452861116,True,True,1.0,-0.07794783004846195,-53.447947283960815
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,0,0.0,1.0,0.9937152067759341,0.9944277802899724,0.9942058718565551,-0.0004906650806210111,0.00022190843341729494,True,False,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,1,0.5,1.5,0.9937709963510508,0.9941406643725883,0.994188288139242,-0.0004172917881911653,-4.762376665368162e-05,True,True,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,2,1.0,2.0,0.9939854542299407,0.9935925404194396,0.994174698626103,-0.00018924439616230249,-0.0005821582066634079,True,True,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,3,1.5,2.5,0.9926745693036132,0.9925987521969752,0.9934850132540922,-0.0008104439504790228,-0.0008862610571169771,True,True,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,4,2.0,3.0,0.9929550687563162,0.9934752384808677,0.9935253656002033,-0.000570296843887097,-5.012711933560787e-05,True,True,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,5,2.5,3.5,0.9936325947399276,0.9938796559875803,0.9934797680451443,0.00015282669478333677,0.0003998879424360613,False,False,1.0,-0.056229627298348905,-51.30506325724568
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,0,0.0,1.0,0.9945127169070785,0.9952204028403431,0.9961896935542947,-0.0016769766472161107,-0.0009692907139515761,True,True,1.0,-0.0653854618689744,-51.2836867190805
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,1,0.5,1.5,0.9939180410155353,0.9957493937987892,0.9958377278858448,-0.0019196868703095227,-8.833408705555268e-05,True,True,1.0,-0.0653854618689744,-51.2836867190805
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,2,1.0,2.0,0.993500272043759,0.9951159156090278,0.9955626524393122,-0.002062380395553176,-0.0004467368302843999,True,True,1.0,-0.0653854618689744,-51.2836867190805
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,3,1.5,2.5,0.994295815609079,0.9948791066511851,0.9954255024189131,-0.0011296868098341628,-0.0005463957677280806,True,True,1.0,-0.0653854618689744,-51.2836867190805
