key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0032_4507-16021-0049__T1__NBASIC__1089,1089,4507,7,33.600768549400705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0032_4507-16021-0049__T2__NBASIC__4507,4507,1089,7,40.80960894646932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0033_1320-122612-0001__T1__NBASIC__1089,1089,1320,5,32.281959880726546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,5,31.446592532293447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,10,21.902601756171034,0.0,0.1,0.3,0.1,0.1,0.0,0.1,0.0,1,0,1,0,0,0,0,0
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,10,30.23651363518379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,5,16.287229536818412,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0035_2300-131720-0025__T2__NBASIC__2300,2300,1089,5,15.801055809424565,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,1,0,1,0,1,0,1,0
1089-134686-0036_6930-75918-0008__T1__NBASIC__1089,1089,6930,5,32.87373543611952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0036_6930-75918-0008__T2__NBASIC__6930,6930,1089,5,35.716766276400875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0037_4446-2271-0000__T1__NBASIC__1089,1089,4446,5,31.065924546779097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0037_4446-2271-0000__T2__NBASIC__4446,4446,1089,5,27.804949004698564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0002_8455-210777-0005__T1__NBASIC__1089,1089,8455,10,29.13327282151955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0002_8455-210777-0005__T2__NBASIC__8455,8455,1089,10,28.542605899817623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0006_4446-2275-0012__T1__NBASIC__1089,1089,4446,10,35.49162956672137,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0006_4446-2275-0012__T2__NBASIC__4446,4446,1089,10,34.0644700807308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0013_4992-23283-0007__T1__NBASIC__1089,1089,4992,7,29.960925283332813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0013_4992-23283-0007__T2__NBASIC__4992,4992,1089,7,39.72115748694679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0014_237-134500-0012__T1__NBASIC__1089,1089,237,8,32.96437090263346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0014_237-134500-0012__T2__NBASIC__237,237,1089,8,41.399907042312705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134691-0015_3575-170457-0015__T1__NBASIC__1089,1089,3575,4,28.456366459734802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
